Type,Author,Source,Text
Stoic Peace,Marcus Aurelius,"Book 1, Section 11, Meditations","Fronto made me sensible how much of envy, deceit and hypocrisy surrounds princes; and that generally those whom we account nobly born have somehow less natural affection."
Stoic Peace,Marcus Aurelius,"Book 1, Section 12, Meditations","I learned from Alexander the Platonist not often nor without great necessity to say, or write to any man in a letter, that I am not at leisure; nor thus, under pretext of urgent affairs, to make a practice of excusing myself from the duties which, according to our various ties, we owe to those with whom we live."
Stoic Peace,Marcus Aurelius,"Book 1, Section 13, Meditations","Of Catulus I learned not to condemn any friend's expostulation even though it were unjust, but to try to recall him to his former disposition; to stint no praise in speaking of my masters, as is recounted of Domitius and Athenodorus; and to love my children with true affection."
Stoic Peace,Marcus Aurelius,"Book 1, Section 14, Meditations","Of Severus, my brother, I learned to love my kinsmen, to love truth, to love justice. Through him I came to know Thrasea, Helvidius, Cato, Dion, and Brutus. He gave me my first conception of a Commonwealth founded upon equitable laws and administered with equality of right; and of a Monarchy whose chief concern is the freedom of its subjects. Of him I learned likewise a constant and harmonious devotion to Philosophy; to be ready to do good, to be generous with all my heart. He taught me to be of good hope and trustful of the affection of my friends. I observed in him candour in declaring what he condemned in the conduct of others; and so frank and open was his behaviour, that his friends might easily see without the trouble of conjecture what he liked or disliked."
Stoic Peace,Marcus Aurelius,"Book 1, Section 15, Meditations","The counsels of Maximus taught me to command myself, to judge clearly, to be of good courage in sickness and other misfortunes, to be moderate, gentle, yet serious in disposition, and to accomplish my appointed task without repining. All men believed that he spoke as he thought; and whatever he did, they knew it was done with good intent. I never found him surprised or astonished at anything. He was never in a hurry, never shrank from his purpose, was never at a loss or dejected. He was no facile smiler, but neither was he passionate or suspicious. He was ready to do good, to forgive, and to speak the truth, and gave the impression of unperverted rectitude rather than of a reformed character. No man could ever think himself despised by Maximus, and no one ever ventured to think himself his superior. He had also a good gift of humour."
Stoic Peace,Marcus Aurelius,"Book 1, Section 16, Meditations","I learned from my father gentleness and undeviating constancy in judgments formed after due reflection; not to be puffed up with glory as men understand it; to be laborious and assiduous. He taught me to give ready hearing to any man who offered anything tending to the common good; to mete out impartial justice to every one; to apprehend rightly when severity and when clemency should be used; to abstain from all impure lusts; and to use humanity towards all men. Thus he left his friends at liberty to sup with him or not, to go abroad with him or not, exactly as they inclined; and they found him still the same if some urgent business had prevented them from obeying his commands. I learned of him accuracy and patience in council, for he never quitted an enquiry satisfied with first impressions. I observed his zeal to retain his friends without being fickle or over fond; his contentment in every condition; his cheerfulness; his forethought about very distant events; his unostentatious attention to the smallest details; his restraint of all popular applause and flattery. Ever watchful of the needs of the Empire, a careful steward of the public revenue, he was tolerant of the censure of others in affairs of that kind. He was neither a superstitious worshipper of the Gods, nor an ambitious pleaser of men, nor studious of popularity, but in all things sober and steadfast, well skilled in what was honourable, never affecting novelties. As to the things which make the ease of life, and which fortune can supply in such abundance, he used them without pride, and yet with all freedom: enjoyed them without affectation when they were present, and when absent he found no want of them. No man could call him sophist, buffoon, or pedant. He was a man of ripe experience, a full man, one who could not be flattered, and who could govern himself as well as others. I further observed that he honoured all who were true philosophers, without upbraiding the rest, and without being led astray by any. His manners were easy, his conversation delightful, but not cloying. He took regular but moderate care of his body, neither as one over fond of life or of the adornment of his person, nor as one who despised these things. Thus, through his own care, he seldom needed any medicines, whether salves or potions. It was his special merit to yield without envy to any who had acquired any special faculty, as either eloquence, or learning in the Law, in ancient customs, or the like; and he aided such men strenuously, so that every one of them might be regarded and esteemed for his special excellence. He observed carefully the ancient customs of his forefathers, and preserved, without appearance of affectation, the ways of his native land. He was not fickle and capricious, and loved not change of place or employment. After his violent fits of headache he would return fresh and vigorous to his wonted affairs. Of secrets he had few, and these seldom, and such only as concerned public matters. He displayed discretion and moderation in exhibiting shows for the entertainment of the people, in his public works, in largesses and the like; and in all those things he acted like one who regarded only what was right and becoming in the things themselves, and not the reputation that might follow after. He never bathed at unseasonable hours, had no vanity in building, was never solicitous either about his food or about the make or colour of his clothes, or about the beauty of his servants. His dress came from Lorium--his villa on the coast--and was of Lanuvian wool for the most part. It is remembered how he used the tax-collector at Tusculum who asked his pardon, and all his behaviour was of a piece with that. He was far from being inhuman, or implacable, or violent; never doing anything with such keenness that one could say he was sweating about it, in all things he reasoned distinctly, as one at leisure, calmly, regularly, resolutely, and consistently. A man might fairly apply that to him which is recorded of Socrates: that he could both abstain from and enjoy these things, in want whereof many show themselves weak, and, in the possession, intemperate. To be strong in abstinence and temperate in enjoyment, to be sober in both--these are qualities of a man of perfect and invincible soul, as was shown in the sickness of Maximus."
Stoic Peace,Marcus Aurelius,"Book 1, Section 17, Meditations","To the Gods I owe it that I had good grandfathers and parents, a good sister, good teachers, good servants, good kinsmen, and friends, good almost all of them. I have to thank them that I never through haste and rashness offended any of them; though my temper was such as might have led me to it had occasion offered. But by their goodness no such concurrence of circumstances happened as could discover my weakness. I am further thankful that I was not longer brought up with my grandfather's concubine, that I retained my modesty, and refrained even longer than need have been from the pleasures of love. To the Gods it is due that I lived under the government of such a prince and father as could take from me all vain glory, and convince me that it was not impossible for a prince to live in a court without guards, gorgeous robes, torches, statues, or such pieces of state and magnificence; but that he may reduce himself almost to the state of a private man, and yet not become more mean or remiss in those public affairs wherein power and authority are requisite. I thank the Gods that I have had such a brother as by his disposition might stir me to take care of myself, while at the same time he delighted me by his respect and love. I thank them that my children neither wanted good natural dispositions nor were deformed in body. I owe it to their good guidance that I made no greater progress in rhetoric and poetry, and in other studies which might have engrossed my mind had I found myself successful in them. By the Gods' grace I forestalled the wishes of those by whom I was brought up, in promoting them to the dignities they seemed most to desire; and I did not put them off with the hope that, since they were but young, I would do it hereafter. I owe to the Gods that I ever knew Apollonius, Rusticus and Maximus; that I have had occasion often and effectually to meditate with myself and enquire what is truly the life according to Nature. And, as far as lies within the dispensation of the Gods to give suggestion, help, or inspiration, there is nothing to prevent my having already realized that life. I have fallen short of it by my own fault, and because I gave no heed to the inward monitions and almost direct instructions of the Gods, to whom be thanks that my body hath so long endured the stress of such a life as I have led. By their goodness I never had to do with either Benedicta or Theodotus; and afterwards, when I fell into some foolish passions, I was soon cured. I give thanks that, having often been displeased with Rusticus, I never did anything to him which afterwards I might have had occasion to repent; that, though my mother was destined to die young, she lived with me all her latter years; that, as often as I inclined to succour any who were either poor or had fallen into some distress, I was never answered that there was not ready money enough to do it, and that I myself never had need of the like succour from another. I must be grateful, too, that I have such a wife, so obedient, so loving, so ingenuous; that I had choice of fit and able men to whom I might commit the education of my children. I have received divine aids in dreams; as in particular, how I might stay my spitting of blood and cure my vertigo; which good fortune happily fell to me at Caieta. The Gods watched over me also when I first applied myself to philosophy. For I fell not into the hands of any Sophist, nor sat poring over many volumes, nor devoted myself to solving syllogisms, or star-gazing. That all these things should so happily fall out there was great need both for the help of fortune and for the aid of the Gods. IN THE COUNTRY OF THE QUADI, BY THE GRANUA. END OF THE FIRST BOOK."
Stoic Peace,Marcus Aurelius,"Book 2, Section 1, Meditations","Say this to yourself in the morning: Today I shall have to do with meddlers, with the ungrateful, with the insolent, with the crafty, with the envious and the selfish. All these vices have beset them, because they know not what is good and what is evil. But I have considered the nature of the good, and found it beautiful: I have beheld the nature of the bad, and found it ugly. I also understand the nature of the evil-doer, and know that he is my brother, not because he shares with me the same blood or the same seed, but because he is a partaker of the same mind and of the same portion of immortality. I therefore cannot be hurt by any of these, since none of them can involve me in any baseness. I cannot be angry with my brother, or sever myself from him, for we are made by nature for mutual assistance, like the feet, the hands, the eyelids, the upper and lower rows of teeth. It is against nature for men to oppose each other; and what else is anger and aversion?"
Stoic Peace,Marcus Aurelius,"Book 2, Section 2, Meditations","All that I am is either flesh, breath, or the ruling part. Cast your books from you; distract yourself no more; for you have not the right to do so. Like one at the point of death despise this flesh, this corruptible bone and blood, this network texture of nerves, veins, and arteries. Consider, too, what breath is--mere air, and that always changing, expelled and inhaled again every moment. The third is the ruling part. As to this, take heed, now that you are old, that it remain no longer in servitude; that it be no more dragged hither and thither like a puppet by every selfish impulse. Repine no more at what fate now sends, nor dread what may befall you hereafter."
Stoic Peace,Marcus Aurelius,"Book 2, Section 3, Meditations","Whatever the Gods ordain is full of wise forethought. The workings of chance are not apart from nature, and not without connexion and intertexture with the designs of Providence. Providence is the source of all things; and, besides, there is necessity, and the utility of the Universe, of which you are a part. For, to every part of a being, that is good which springs from the nature of the whole and tends to its preservation. Now, the order of Nature is preserved in the changes of elements, just as it is in the changes of things that are compound. Let this suffice you, and be your creed unchangeable. Put from you the thirst of books, that you may not die murmuring, but meekly, and with true and heartfelt gratitude to the Gods."
Stoic Peace,Marcus Aurelius,"Book 2, Section 4, Meditations","Think of your long procrastination, and of the many opportunities given you by the Gods, but left unused. Surely it is high time to understand the Universe of which you are a part, and the Ruler of that Universe, of whom you are an emanation; that a limit is set to your days, which, if you use them not for your enlightenment, will depart, as you yourself will, and return no more."
Stoic Peace,Marcus Aurelius,"Book 2, Section 5, Meditations","Hourly and earnestly strive, as a Roman and a man, to do what falls to your hand with perfect unaffected dignity, with kindliness, freedom and justice, and free your soul from every other imagination. This you will accomplish if you perform each action as if it were your last, without wilfulness, or any passionate aversion to what reason approves; without hypocrisy or selfishness, or discontent with the decrees of Providence. You see how few things it is necessary to master in order that a man may live a smooth-flowing, God-fearing life. For of him that holds to these principles the Gods require no more."
Stoic Peace,Marcus Aurelius,"Book 2, Section 6, Meditations","Go on, go on, O my soul, to affront and dishonour thyself! The time that remains to honour thyself will not be long. Short is the life of every man; and thine is almost spent; spent, not honouring thyself, but seeking thy happiness in the souls of other men."
Stoic Peace,Marcus Aurelius,"Book 2, Section 7, Meditations","Cares from without distract you: take leisure, then, to add some good thing to your knowledge; have done with vacillation, and avoid the other error. For triflers, too, are they who, by their activities, weary themselves in life, and have no settled aim to which they may direct, once and for all, their every desire and project."
Stoic Peace,Marcus Aurelius,"Book 2, Section 8, Meditations",Seldom are any found unhappy from not observing what is in the minds of others. But such as observe not well the stirrings of their own souls must of necessity be unhappy.
Stoic Peace,Marcus Aurelius,"Book 2, Section 9, Meditations","Remember always what the nature of the Universe is, what your own nature is, and how these are related--the one to the other. Remember what part your qualities are of the qualities of the whole, and that no man can prevent you from speaking and acting always in accordance with that nature of which you are a part."
Stoic Peace,Marcus Aurelius,"Book 2, Section 10, Meditations","In comparing crimes together, as, according to the common idea, they may be compared, Theophrastus makes the true philosophical distinction, that those committed from motives of pleasure are more heinous than those which are due to passion. For he who is a prey to passion is clearly turned away from reason by some spasm and convulsion that takes him unawares. But he who sins from desire is conquered by pleasure, and so seems more incontinent and more effeminate in his vice. Justly then, and in a truly philosophical spirit, he says that sin, for pleasure's sake, is more wicked than sin which is due to pain. For the latter sinner was sinned against, and so driven to passion by his wrongs, while the former set out to sin of his own motion, and was led into ill-doing by his own lust."
Stoic Peace,Marcus Aurelius,"Book 2, Section 11, Meditations","Do every deed, speak every word, think every thought in the knowledge that you may end your days any moment. To depart from men, if there be really Gods, is nothing terrible. The Gods could bring no evil thing upon you. And if there be no Gods, or if they have no regard to human affairs, why should I desire to live in a world void of Gods and without Providence? But Gods there are, and assuredly they regard human affairs; and they have put it wholly in man's power that he should not fall into what is truly evil. And of other things, had any been bad, they would have made provision also that man should have the power to avoid them altogether. For how can that make a man's life worse which does not corrupt the man himself? Presiding Nature could not in ignorance, or in knowledge impotent, have omitted to prevent or rectify these things. She could not fail us so completely that, either from want of power or want of skill, good and evil should happen promiscuously to good men and to bad alike. Now death and life, glory and reproach, pain and pleasure, riches and poverty--all these happen equally to the good and to the bad. But, as they are neither honourable nor shameful, they are therefore neither good nor evil."
Stoic Peace,Marcus Aurelius,"Book 2, Section 12, Meditations","It is the office of our rational power to apprehend how swiftly all things vanish; how the corporeal forms are swallowed up in the material world, and the memory of them in the tide of ages. Such are all the things of sense, especially those which ensnare us with pleasure or terrify us with pain, or those things which vanity trumpets in our ears. How mean, how despicable, how sordid, how perishable, how dead are they! What are they whose opinions and whose voices bestow renown? What is it to die? Your mind can tell you that, did a man think of it alone, and, by close consideration, strip it of its ghastly trappings, he would no longer deem it anything but a work of Nature. To dread a work of Nature is a childish thing, and this is, indeed, not only Nature's work, but beneficial to her. Your reason tells you how man reaches God, and through what part, and what is the state of that part, when he has attained unto him."
Stoic Peace,Marcus Aurelius,"Book 2, Section 13, Meditations","Nothing, says the poet, is more miserable than to range over all things, to spy into the depths of the earth, and search, by conjecture, into the souls of those around us, yet not to perceive that it is enough for a man to devote himself to that divinity which is within him, and to pay it genuine worship. And this worship consists in keeping it pure from every passion and folly, and from repining at anything done by Gods or men. The work of the Gods is to be reverenced for its excellence. The works of men should be dear for the sake of the bond of kinship, or pitied, as we must pity them sometimes, for their lack of the knowledge of good and evil. And men are not less maimed by this defect than by their want of power to know white from black."
Stoic Peace,Marcus Aurelius,"Book 2, Section 14, Meditations","Though you should live three thousand ears or as many myriads, yet remember that no man loses any other life than that which now lives, nor lives any other than that which he is now losing. The longest and the shortest lives come to one effect. The present moment is the same for all men, and their loss, therefore, is equal, for it is clear that what they lose in death is but a fleeting instant of time. No man can lose either the past or the future, for how can a man be deprived of what he has not? These two things then are to be remembered: First, that all things recur in cycles, and are the same from everlasting, and that, therefore, it matters nothing whether a man shall contemplate these same things for one hundred years, or for two hundred, or for an infinite stretch of time: and, secondly, that he who lives longest and he who dies soonest have an equal loss in death. The present moment is all of which either is deprived, since that is all he has. No man can be robbed of that which he has not."
Stoic Peace,Marcus Aurelius,"Book 2, Section 15, Meditations","Beyond opinion there is nothing. The objections to this saying of Monimus the Cynic are obvious. But obvious also is the utility of what he said, if one accept his pleasantry as far as truth will warrant it."
Stoic Peace,Marcus Aurelius,"Book 2, Section 16, Meditations","Man's soul dishonours itself, firstly and chiefly when it does all it can to become an excrescence, and as it were an abscess on the Universe. To fret against any particular event is to revolt against the general law of Nature, which comprehends the order of all events whatsoever. Again it is dishonour for the soul when it has aversion to any man, and opposes him with intention to hurt him, as wrathful men do. Thirdly, it affronts itself when conquered by pleasure or pain; fourthly, when it does or says anything hypocritically, feignedly or falsely; fifthly, when it does not direct to some proper end all its desires and actions, but exerts them inconsiderately and without understanding. For, even the smallest things should be referred to the end, and the end of rational beings is to follow the order and law of the venerable state and polity which comprehends them all."
Stoic Peace,Marcus Aurelius,"Book 2, Section 17, Meditations","The duration of man's life is but an instant; his substance is fleeting, his senses dull; the structure of his body corruptible; the soul but a vortex. We cannot reckon with fortune, or lay our account with fame. In fine, the life of the body is but a river, and the life of the soul a misty dream. Existence is a warfare, and a journey in a strange land; and the end of fame is to be forgotten. What then avails to guide us? One thing, and one alone--Philosophy. And this consists in keeping the divinity within inviolate and intact; victorious over pain and pleasure; free from temerity, free from falsehood, free from hypocrisy; independent of what others do or fail to do; submissive to hap and lot, which come from the same source as we; and, above all, with equanimity awaiting death, as nothing else than a resolution of the elements of which every being compounded. And, if in their successive interchanges no harm befall the elements, why should one suspect any in the change and dissolution of the whole? It is natural, and nothing natural can be evil. AT CARNUNTUM. END OF THE SECOND BOOK."
Stoic Peace,Marcus Aurelius,"Book 3, Section 1, Meditations","Man must consider, not only that each day part of his life is spent, and that less and less remains to him, but also that, even if he live longer, it is very uncertain whether his intelligence will suffice as heretofore for the understanding of his affairs, and for grasping that knowledge which aims at comprehending things human and divine. When dotage begins, breath, nourishment, fancy, impulse, and so forth will not fail him. But self-command, accurate appreciation of duty, power to scrutinize what strikes his senses, or even to decide whether he should take his departure, all powers, indeed, which demand a well-trained understanding, must be extinguished in him. Let him be up and doing then, not only because death comes nearer every day, but because understanding and intelligence often leave us before we die."
Stoic Peace,Marcus Aurelius,"Book 3, Section 2, Meditations","Observe what grace and charm appear even in the accidents that accompany Nature's work. Thus some parts of a loaf crack and burst in the baking; and this cracking, though in a manner contrary to the design of the baker, looks well and invites the appetite. Figs, too, gape when at their ripest, and in ripe olives the very approach to rotting adds a special beauty to the fruit. The droop of ears of corn, the bent brows of the lion, the foam at a boar's mouth, and many other things, are far from comely in themselves, yet, since they accompany the works of Nature, they make part of her adornment, and rejoice the beholder. Thus, if a man be sensitive to such things, and have a more than common penetration into the constitution of the whole, scarce anything connected with Nature will fail to give him pleasure, as he comes to understand it. Such a man will contemplate in the real world the fierce jaws of wild beasts with no less delight than when sculptors or painters set forth for him their presentments. With like pleasure will his chaste eyes behold the maturity and grace of old age in man or woman, and the inviting charms of youth. Many such things will strike him, things not credible to the many, but which come to him alone who is truly familiar with the works of Nature and near to her own heart."
Stoic Peace,Marcus Aurelius,"Book 3, Section 3, Meditations","Hippocrates, who had healed many diseases, himself fell sick, and died. The Chaldeans foretold the fatal hours of multitudes, and afterwards fate carried themselves away. Alexander, Pompey, and Gaius Caesar, who so often razed whole cities, and cut off in battle so many myriads of horse and foot, at last departed from this life themselves. Heraclitus, after his many speculations on the conflagration of the world, died, swollen with water and plastered with cow-dung. Vermin destroyed Democritus; Socrates was killed by vermin of another sort. What of all this? You have gone aboard, made your voyage, come to harbour. Disembark: if into another life, there will God be also; if into nothingness, at least you will have done with bearing pain and pleasure, and with your slavery to this vessel so much meaner than its slave. For the soul is intelligence and deity, the body dust and corruption."
Stoic Peace,Marcus Aurelius,"Book 3, Section 4, Meditations","Waste not what remains of life in consideration about others, when it makes not for the common good. Be sure you are neglecting other work if you busy yourself with what such a one is doing and why, with what he is saying, thinking, or scheming. All such things do but divert you from the steadfast guardianship of your own soul. It behoves you, then, in every train of thought to shun all that is aimless or useless, and, above all, everything officious or malignant. Accustom yourself so, and only so, to think, that, if any one were suddenly to ask you, ""Of what are you thinking-now?"" you could answer frankly and at once, ""Of so and so."" Then it will plainly appear that you are all simplicity and kindliness, as befits a social being who takes little thought for enjoyment or any phantom pleasure; who spurns contentiousness, envy, or suspicion; or any passion the harbouring of which one would blush to own. For such a man, who has finally determined to be henceforth among the best, is, as it were, a priest and minister of the Gods, using the spirit within him, which preserves a man unspotted from pleasure, unwounded by any pain, inaccessible to all insult, innocent of all evil; a champion in the noblest of all contests--the contest for victory over every passion. He is penetrated with justice; he welcomes with all his heart whatever befalls, or is appointed by Providence. He troubles not often, or ever without pressing public need, to consider what another may say, or do, or design. Solely intent upon his own conduct, ever mindful of his own concurrent part in the destiny of the Universe, he orders his conduct well, persuaded that his part is good. For the lot appointed to every man is part of the law of all things as well as a law for him. He forgets not that all rational beings are akin, and that the love of all mankind is part of the nature of man; also that we must not think as all men think, but only as those who live a life accordant with nature. As for those who live otherwise, he remembers always how they act at home and abroad, by night and by day, and how and with whom they are found in company. And so he cannot esteem the praise of such, for they enjoy not their own approbation."
Stoic Peace,Marcus Aurelius,"Book 3, Section 5, Meditations","In action be neither grudging, nor selfish, nor ill-advised, nor constrained. Let not your thought be adorned with overmuch nicety. Be not a babbler or a busybody. Let the God within direct you as a manly being, as an elder, a statesman, a Roman, and a ruler, standing prepared like one who awaits the recall from life, in marching order; requiring neither an oath nor the testimony of any man. And withal, be cheerful, and independent of the assistance and the peace that comes from others; for, it is a man's duty to stand upright, self-supporting, not supported."
Stoic Peace,Marcus Aurelius,"Book 3, Section 6, Meditations","If in the life of man you find anything better than justice, truth, sobriety, manliness; and, in sum, anything better than the satisfaction of your soul with itself in that wherein it is given to you to follow right reason; and with fate in that which is determined beyond your control; if, I say, you find aught better than this, then turn thereto with all your heart, and enjoy it as the best that is to be found. But if nothing seems to you better than the divinity seated within you, which has conquered all your impulses, which sifts all your thoughts, which, as Socrates said, has detached itself from the promptings of sense, and devoted itself to God and to the love of mankind; if you find every other thing small and worthless compared with this, see that you give place to no other which might turn, divert, or distract you from holding in highest esteem the good which is especially and properly your own. For it is not permitted to us to substitute for that which is good in reason or in fact anything not agreeable thereto, such as the praise of the many, power, riches, or the pursuit of pleasure. All these things may seem admissible for a moment; but presently they get the upper hand, and lead us astray. But do you, I say, frankly and freely choose the best, and keep to it. The best is what is for your advantage. If now you choose what is for your spiritual advantage, hold it fast; if what is for your bodily advantage, admit that it is so chosen, and keep your choice with all modesty. Only see that you make a sure discrimination."
Stoic Peace,Marcus Aurelius,"Book 3, Section 7, Meditations","Never esteem aught of advantage which will oblige you to break your faith, or to desert your honour; to hate, to suspect, or to execrate any man; to play a part; or to set your mind on anything that needs to be hidden by wall or curtain. He who to all things prefers the soul, the divinity within him, and the sacred cult of its virtues, makes no tragic groan or gesture. He needs neither solitude nor a crowd of spectators; and, best of all, he will live neither seeking nor shunning death. Whether the soul shall use its surrounding body for a longer or shorter space is to him indifferent. Were he to depart this moment he would go as readily as he would do any other seemly and proper action, holding one thing only in life-long avoidance--to find his soul in any case unbefitting an intelligent social being."
Stoic Peace,Marcus Aurelius,"Book 3, Section 8, Meditations","In the soul of the chastened and purified man you would find nothing putrid, foul, or festering. Fate does not cut off his life before its proper end; as one would say of an actor who left the stage before his part was ended, or he had reached his appointed exit. There remains nothing servile or affected, nothing too conventional or too seclusive, nothing that fears censure or courts concealment."
Stoic Peace,Marcus Aurelius,"Book 3, Section 9, Meditations","Hold in honour the faculty which forms opinions. It depends on this faculty alone that no opinion your soul entertains be inconsistent with the nature and constitution of the rational being. It ensures that we form no rash judgments, that we are kindly to men, and obedient to the Gods."
Stoic Peace,Marcus Aurelius,"Book 3, Section 10, Meditations","Cast from you then all other things, retaining these few. Remember also that every man lives only this present moment, which is a fleeting instant: the rest of time is either spent or quite unknown. Short is the time which each of us has to live, and small the corner of the earth he has to live in. Short is the longest posthumous fame, and this preserved through a succession of poor mortals, soon themselves to die; men who knew not themselves, far less those who died long ago."
Stoic Peace,Marcus Aurelius,"Book 3, Section 11, Meditations","To these maxims add this other. Accurately define or describe every thing that strikes your imagination, so that you may see and distinguish what it is in naked essence, and what it is in its entirety; that you may tell yourself the proper name of the thing itself, and the names of the parts of which it is compounded, and into which it will be resolved. Nothing makes mind greater than the power to enquire into all things that present themselves in life; and, while you examine them, to consider at the same time of what fashion is the Universe, and what is the function in it of these things, of what importance they are to the whole, of what to man who is a citizen of that highest city of which all other cities are but households. Consider what is this thing that now makes an impression on you, of what it is composed, and how long it is destined to endure. Consider also for what virtue it calls; whether it be gentleness, courage, truthfulness, fidelity, simplicity, independence, or any other. Say, therefore, of each event: ""This comes from God:"" or ""This comes from the conjunction and intertexture of the strands of fate, or from some chance or hazard of that kind:"" or ""This comes from one of my own tribe, from my kinsman, from my friend. He is, indeed, ignorant of what accords with nature; but I am not, and will therefore use him kindly and justly, according to the natural and social law. As to things indifferent, I strive to appraise them at their proper value."""
Stoic Peace,Marcus Aurelius,"Book 3, Section 12, Meditations","If you discharge your present duty with firm and zealous, yet kindly, observance of the laws of reason; if you regard no by-gains, but keep pure within you your immortal part, as if obliged to restore it at once to him who gave it; if you hold to this with no further desires or aversions, and be content with the natural discharge of your present task, and with the heroic sincerity of all you say or utter, you will live well. And herein no man can hinder you."
Stoic Peace,Marcus Aurelius,"Book 3, Section 13, Meditations","As surgeons have ever their knives and instruments at hand for the sudden emergencies of their art, so do you keep ready the principles requisite for understanding things divine and human, and for doing all things, even the least important, in the remembrance of the bond between the two. For in neglecting this, you will scant your duty both to Gods and men."
Stoic Peace,Marcus Aurelius,"Book 3, Section 14, Meditations","Cease your wandering, for you are not like to read again your own memoirs, or the deeds of the ancient Greeks and Romans, or those collections from the writings of others that you laid up for your old age. Hasten then to your proper end. Fling away vain hopes, and, if you have any care for yourself, fly to your own succour while yet you may."
Stoic Peace,Marcus Aurelius,"Book 3, Section 15, Meditations","Men understand not all that is signified by the words--to steal, to sow, to buy, to rest, to see what is to be done. For it is not the bodily eye but another sort of sight that must discern these things."
