field,Author,Source,Quote
Movie Peace,Professor Albus Dumbledore (Richard Harris),Harry Potter and the Sorcerer's Stone (2001),"To the well-organized mind, death is but the next great adventure."
Movie Peace,Atticus Finch (Gregory Peck),To Kill a Mockingbird (1962),"The one thing that doesn't abide by majority rule is a person's conscience."
Movie Peace,Indiana Jones (Harrison Ford),Indiana Jones and the Last Crusade (1989),"Only the penitent man will pass." (facing mortality's test)
Movie Peace,The Dude (Jeff Bridges),The Big Lebowski (1998),"The Dude abides." (acceptance amid chaos and loss)
Movie Peace,Travis Bickle (Robert De Niro),Taxi Driver (1976),"Someday a real rain will come and wash all this scum off the streets." (apocalyptic view of cleansing/death)
Movie Peace,Randle McMurphy (Jack Nicholson),One Flew Over the Cuckoo's Nest (1975),"What do you think you are, for Chrissake, crazy or somethin'?"
Movie Peace,Joe Black (Brad Pitt),Meet Joe Black (1998),"I'm not afraid of dying. I'm afraid I haven't been alive enough."
Movie Peace,Landon Carter (Shane West),A Walk to Remember (2002),"Love is like the wind, you can't see it but you can feel it."
Movie Peace,Frank (Steve Carell),Little Miss Sunshine (2006),"Those were the best years of his life, ’cause they made him who he was."
Movie Peace,Gimli (John Rhys-Davies),The Lord of the Rings: The Two Towers (2002),"Certainty of death. Small chance of success. What are we waiting for?"
Movie Peace,The Narrator (Edward Norton),Fight Club (1999),"It's only after we've lost everything that we're free to do anything."
Movie Peace,Tyler Durden (Brad Pitt),Fight Club (1999),"You are not your job, you're not how much money you have in the bank."
Movie Peace,Andrew Largeman (Zach Braff),Garden State (2004),"You know that point in your life when you realize the house you grew up in isn't really your home anymore?"
Movie Peace,Simba,The Lion King (1994),"Remember who you are."
Movie Peace,Obi-Wan Kenobi (Ewan McGregor),Star Wars: Revenge of the Sith (2005),"You were my brother, Anakin! I loved you!"
Movie Peace,Logan (Hugh Jackman),Logan (2017),"So we finish it. There's no living with it. I know what I've done."
Movie Peace,Thanos (Josh Brolin),Avengers: Infinity War (2018),"I am... inevitable."
Movie Peace,Deckard (Harrison Ford),Blade Runner (1982),"Quite an experience to live in fear, isn't it? That's what it is to be a slave."
Movie Peace,Colonel Kurtz (Marlon Brando),Apocalypse Now (1979),"The horror... the horror."
Movie Peace,Antonius Block (Max von Sydow),The Seventh Seal (1957),"Who are you?" Death: "I am Death."
