field,Author,Source,Quote
Movie Peace,Carl Fredricksen (Ed Asner),Up (2009),"Thanks for the adventure. Now go have a new one!"
Movie Peace,Simba,The Lion King (1994),"Everything the light touches is our kingdom... but remember who you are."
Movie Peace,Professor Farnsworth,Futurama: The Late Philip J. Fry (2010),"Good news, everyone! I've taught the toaster to feel love... and fear death."
Movie Peace,The Narrator (Edward Norton),Fight Club (1999),"It's only after we've lost everything that we're free to do anything."
Movie Peace,Tyler Durden (Brad Pitt),Fight Club (1999),"You are not your job, you're not how much money you have in the bank."
Movie Peace,Andrew Largeman (Zach Braff),Garden State (2004),"You know that point in your life when you realize the house you grew up in isn't really your home anymore? All of a sudden even though you have some place where you can put your stuff, that idea of home is gone."
Movie Peace,Joe Black (Brad Pitt),Meet Joe Black (1998),"I'm not afraid of dying. I'm afraid I haven't been alive enough."
Movie Peace,Landon Carter (Shane West),A Walk to Remember (2002),"Love is like the wind, you can't see it but you can feel it."
Movie Peace,Corrina Washington,A Walk to Remember (context),"He’s hurting just like you’re hurting, and you’re going to hurt for a long time."
Movie Peace,Frank (Steve Carell),Little Miss Sunshine (2006),"Those were the best years of his life, ’cause they made him who he was."
Movie Peace,Gimli (John Rhys-Davies),The Lord of the Rings: The Two Towers (2002),"Certainty of death. Small chance of success. What are we waiting for?"
Movie Peace,Indiana Jones,Indiana Jones and the Last Crusade (1989),"Only the penitent man will pass."
Movie Peace,The Dude (Jeff Bridges),The Big Lebowski (1998),"The Dude abides." (acceptance in chaos)
Movie Peace,Randle McMurphy (Jack Nicholson),One Flew Over the Cuckoo's Nest (1975),"What do you think you are, for Chrissake, crazy or somethin'? Well you're not! You're not! You're no crazier than the average asshole out walkin' around on the streets and that's it."
Movie Peace,Travis Bickle (Robert De Niro),Taxi Driver (1976),"Someday a real rain will come and wash all this scum off the streets."
Movie Peace,Roy Neary (Richard Dreyfuss),Close Encounters of the Third Kind (1977),"This means something. This is important."
Movie Peace,Elliot (Henry Thomas),E.T. the Extra-Terrestrial (1982),"I'll be right here." (pointing to heart, as farewell)
