field,Author,Source,Quote
Literary Peace,Yann Martel,Life of Pi,"Life is so beautiful that death has fallen in love with it, a jealous, possessive love that grabs at what it can. But life leaps over oblivion lightly, losing only a thing or two of no importance, and gloom is just a passing shadow of a cloud."
Literary Peace,Anne Lamott,various writings,"Death? Be as proud as you want: bore me later, because Love is sovereign here. Life never ends. Joy comes in the morning. Glory hallelujah. And let it be so."
Literary Peace,Maya Angelou,various writings,"If we lose love and self respect for each other, this is how we finally die."
Literary Peace,Rick Riordan,The Son of Neptune,"Life is only precious because it ends, kid."
Literary Peace,Cassandra Clare,Clockwork Princess,"No one can say that death found in me a willing comrade, or that I went easily."
Literary Peace,David Levithan,Two Boys Kissing,"We do not start as dust. We do not end as dust. We make more than dust. That's all we ask of you. Make more than dust."
Literary Peace,Thomas Bernhard,Concrete,"Whatever condition we are in, we must always do what we want to do, and if we want to go on a journey, then we must do so and not worry about our condition, even if it's the worst possible condition, because, if it is, we're finished anyway, whether we go on the journey or not, and it's better to die having made the journey we've been longing for than to be stifled by our longing."
Literary Peace,Christopher Hitchens,Hitch-22: A Memoir,"It also makes me quite astonishingly calm at the thought of death: I know whom I would die to protect and I also understand that nobody but a lugubrious serf can possibly wish for a father who never goes away."
Literary Peace,Albert Camus,various writings,"Come to terms with death. Thereafter anything is possible."
Literary Peace,Rainer Maria Rilke,various writings,"Death is our friend precisely because it brings us into absolute and passionate presence with all that is here, that is natural, that is love. Death stands before eternity and says YES."
Literary Peace,Chuck Palahniuk,Fight Club,"You have to give up! You have to give up! You have to realize that someday you will die. Until you know that, you are useless!"
Literary Peace,Philip Pullman,various writings,"You’ll drift apart, it’s true, but you’ll be out in the open, part of everything alive again."
Literary Peace,Hannah Arendt,various writings,"Death not merely ends life, it also bestows upon it a silent completeness, snatched from the hazardous flux to which all things human are subject."
Literary Peace,David Mamet,various writings,"All fears are one fear. Just the fear of death. And we accept it, then we are at peace."
Literary Peace,Oliver Sacks,various writings,"It is the fate—the genetic and neural fate—of every human being to be a unique individual, to find his own path, to live his own life, to die his own death."
Literary Peace,Joan Didion,The Year of Magical Thinking,"We tell ourselves stories in order to live... We look for the sermon in the suicide, for the social or moral lesson in the murder of five. We interpret what we see, select the most workable of the multiple choices. We live entirely, especially if we are writers, by the imposition of a narrative line upon disparate images, by the 'ideas' with which we have learned to freeze the shifting phantasmagoria which is our actual experience."
Literary Peace,John Green,The Fault in Our Stars,"That's part of what I like about the book in some ways. It portrays death truthfully. You die in the middle of your life, in the middle of a sentence."
Literary Peace,Brandon Mull,Fablehaven,"The curse of mortality. You spend the first portion of your life learning, growing stronger, more capable. And then, through no fault of your own, your body begins to fail. You regress. Strong limbs become feeble, keen senses grow dull, hardy constitutions deteriorate. Beauty withers. Organs quit. You remember yourself in your prime, and wonder where that person went. As your wisdom and experience are peaking, your traitorous body becomes a prison."
Literary Peace,Carl Sagan,various writings,"The world is so exquisite with so much love and moral depth, that there is no reason to deceive ourselves with pretty stories for which there's little good evidence. Far better it seems to me, in our vulnerability, is to look death in the eye and to be grateful every day for the brief but magnificent opportunity that life provides."
Literary Peace,Mikhail Bulgakov,The Master and Margarita,"Yes, man is mortal, but that would be only half the trouble. The worst of it is that he's sometimes unexpectedly mortal—there's the trick!"
